StationID,Facility,URL,Phone,Office Div,Location 1,Address,Lat,Lon
101,Department of Veterans Affairs ,http://www.va.gov/,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Veterans Health Administration ,http://www1.va.gov/health/index.asp,202-273-5400,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Veterans Benefits Administration ,http://www.va.gov/directory/guide/facility.asp?id=2002&r=1,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,National Cemetery Administration ,http://www.cem.va.gov/,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Office of Inspector General ,http://www.va.gov/oig/,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Board of Contract Appeals ,http://www.va.gov/directory/guide/facility.asp?id=2005&r=1,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Office of Small & Disadvantaged Business Utilization ,http://www.va.gov/directory/guide/facility.asp?id=2006&r=1,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Center for Minority Veterans ,http://www.va.gov/directory/guide/facility.asp?id=2007&r=1,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Office of Employment Discrimination Complaint Adjudication ,http://www.va.gov/orm/oedca.asp,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Office of General Counsel ,http://www.va.gov/OGC/,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Board of Veterans' Appeals ,http://www.va.gov/vbs/bva/,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Special Assistant to the Secretary for Veterans Service Organizations Liaison ,http://www.va.gov/directory/guide/facility.asp?id=2011&r=1,,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
101,Center for Women Veterans ,http://www.va.gov/womenvet/,800-827-1000,VA Central Offices: VA Central Office,"810 Vermont Ave
Washington, DC 20420
(38.900342589000445, -77.03506733399968)","810 Vermont Ave
Washington, DC 20420
",38.900342589,-77.035067334
200,Austin Automation Center ,http://www.aac.va.gov/,,VA Central Offices: VA Central Office,,,#VALUE!,#VALUE!
741,"VA Health Administration Center, Denver ",http://www.va.gov/hac,303-331-7500,VA Central Offices: VA Central Office,"3773 Cherry Creek North Drive
Denver, CO 80209
(39.708690223000474, -104.94372051199969)","3773 Cherry Creek North Drive
Denver, CO 80209
",39.708690223,-104.943720512
104,"Austin, Financial Services Center ",http://www.fsc.va.gov/fsc/,,VA Central Offices: VA Central Office,"1615 Woodward St
Austin, TX 78772
(30.221565471000474, -97.74565397699968)","1615 Woodward St
Austin, TX 78772
",30.221565471,-97.745653977
101,Office of Construction & Facilities Management ,http://www.va.gov/directory/guide/facility.asp?id=2019&r=1,202-632-4607,VA Central Offices: VA Central Office,"425 I Street
Washington, DC 20001
(38.90130094200049, -77.01694034399964)","425 I Street
Washington, DC 20001
",38.901300942,-77.016940344
00CFM3,Construction & Facilities Management Regional Office - East ,http://www.cfm.va.gov/,301-565-4400,VA Central Offices: VA Central Office,"8380 Colesville Road
Silver Spring, MD 20910
(38.99347997900048, -77.03242836999965)","8380 Colesville Road
Silver Spring, MD 20910
",38.993479979,-77.03242837
00CFM3,Construction & Facilities Management Regional Office - Central ,http://www.cfm.va.gov/,224-610-3560 Or 224-610-3560,VA Central Offices: VA Central Office,"3001 Green Bay Road
North Chicago, IL 60064
(42.30842010200047, -87.86247349599967)","3001 Green Bay Road
North Chicago, IL 60064
",42.308420102,-87.862473496
00CFM3,Construction & Facilities Management Regional Office - West ,http://www.cfm.va.gov/,,VA Central Offices: VA Central Office,"1175 Nimitz Avenue
Vallejo, CA 94592
(38.09619175200049, -122.2673657249997)","1175 Nimitz Avenue
Vallejo, CA 94592
",38.096191752,-122.267365725
798,VA Acquisition Academy ,http://www.acquisitionacademy.va.gov/,,VA Central Offices: VA Central Office,"7485 New Horizon Way
Frederick, MD 21703
(39.37979080700046, -77.40031045099965)","7485 New Horizon Way
Frederick, MD 21703
",39.379790807,-77.400310451
10N1,VISN 1: VA New England Healthcare System ,http://www.newengland.va.gov/,781-687-4821,Veterans Health Administration: VISN 1: VA New England Healthcare System,"200 Springs Road
Bedford, MA 01730
(42.50350748800048, -71.27264839599962)","200 Springs Road
Bedford, MA 01730
",42.503507488,-71.272648396
523,VA Boston Healthcare System ,http://www.boston.va.gov/,617-232-9500,Veterans Health Administration: VISN 1: VA New England Healthcare System,"150 Huntington Avenue
Jamaica Plain, MA 02130
(42.32771974600047, -71.11085019799964)","150 Huntington Avenue
Jamaica Plain, MA 02130
",42.327719746,-71.110850198
689,VA Connecticut Healthcare System ,http://www.va.gov/directory/guide/facility.asp?id=6237&r=1,203-932-5711,Veterans Health Administration: VISN 1: VA New England Healthcare System,"950 Campbell Avenue
West Haven, CT 06516
(41.28437069000046, -72.95728015099962)","950 Campbell Avenue
West Haven, CT 06516
",41.28437069,-72.957280151
518,Edith Nourse Rogers Memorial Veterans Hospital ,http://www.bedford.va.gov/,781-687-2000 Or 800-838-6331,Veterans Health Administration: VISN 1: VA New England Healthcare System,"200 Springs Rd
Bedford, MA 01730
(42.50350748800048, -71.27264839599962)","200 Springs Rd
Bedford, MA 01730
",42.503507488,-71.272648396
608,Manchester VA Medical Center ,http://www.manchester.va.gov/,603-624-4366 Or 800-892-8384,Veterans Health Administration: VISN 1: VA New England Healthcare System,"718 Smyth Road
Manchester, NH 03104
(43.01198996000045, -71.43923108599967)","718 Smyth Road
Manchester, NH 03104
",43.01198996,-71.439231086
650,Providence VA Medical Center ,http://www.providence.va.gov/,401-273-7100 Or 866-363-4486,Veterans Health Administration: VISN 1: VA New England Healthcare System,"830 Chalkstone Avenue
Providence, RI 02908-4799
(41.83394289100045, -71.43483028799966)","830 Chalkstone Avenue
Providence, RI 02908-4799
",41.833942891,-71.434830288
523A5,"VA Boston Healthcare System, Brockton Campus ",http://www.boston.va.gov/,508-583-4500 Or 508-583-4500,Veterans Health Administration: VISN 1: VA New England Healthcare System,"940 Belmont Street
Brockton, MA 02301
(42.06402107700046, -71.05727021999962)","940 Belmont Street
Brockton, MA 02301
",42.064021077,-71.05727022
523,"VA Boston Healthcare System, Jamaica Plain Campus ",http://www.boston.va.gov/,617-232-9500 Or 617-232-9500,Veterans Health Administration: VISN 1: VA New England Healthcare System,"150 Huntington Avenue
Jamaica Plain, MA 02130
(42.32771974600047, -71.11085019799964)","150 Huntington Avenue
Jamaica Plain, MA 02130
",42.327719746,-71.110850198
523A4,"VA Boston Healthcare System, West Roxbury Campus ",http://www.boston.va.gov/,617-323-7700 Or 617-323-7700,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1400 VFW Parkway
West Roxbury, MA 02132
(42.2760826810005, -71.17243052199967)","1400 VFW Parkway
West Roxbury, MA 02132
",42.276082681,-71.172430522
631,VA Central Western Massachusetts Healthcare System ,http://www.centralwesternmass.va.gov/,413-584-4040,Veterans Health Administration: VISN 1: VA New England Healthcare System,"421 Main Street
Leeds, MA 01053-9764
(42.34805202300049, -72.68747944599966)","421 Main Street
Leeds, MA 01053-9764
",42.348052023,-72.687479446
689A4,"VA Connecticut Healthcare System, Newington Campus ",http://www.connecticut.va.gov/,860-666-6951,Veterans Health Administration: VISN 1: VA New England Healthcare System,"555 Willard Avenue
Newington, CT 06111
(41.702348018000464, -72.73482155999966)","555 Willard Avenue
Newington, CT 06111
",41.702348018,-72.73482156
