StationID	Facility	URL	Phone	Office Div	Location 1	Address	Lat	Lon
10N6	VISN 6: VA Mid-Atlantic Health Care Network 	http://www.visn6.va.gov/	919-956-5541	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"300 Morgan Street
Durham, NC 27701
(35.99816006600048, -78.90217110099968)"	"300 Morgan Street
Durham, NC 27701
"	35.998160066	-78.902171101
637	Asheville VA Medical Center 	http://www.asheville.va.gov/	828-298-7911	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1100 Tunnel Road
Asheville, NC 28805
(35.58726078000046, -82.48585109899966)"	"1100 Tunnel Road
Asheville, NC 28805
"	35.58726078	-82.485851099
558	Durham VA Medical Center 	http://www.durham.va.gov/	919-286-0411 Or 888-878-6890	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"508 Fulton Street
Durham, NC 27705
(36.009760093000466, -78.93727077399967)"	"508 Fulton Street
Durham, NC 27705
"	36.009760093	-78.937270774
565	Fayetteville VA Medical Center 	http://www.fayettevillenc.va.gov/	910-488-2120 Or 910-488-2120	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"2300 Ramsey Street
Fayetteville, NC 28301
(35.09057061600049, -78.87764016199964)"	"2300 Ramsey Street
Fayetteville, NC 28301
"	35.090570616	-78.877640162
659	Salisbury - W.G. (Bill) Hefner VA Medical Center 	http://www.salisbury.va.gov/	704-638-9000 Or 704-638-9000	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1601 Brenner Avenue
Salisbury, NC 28144
(35.68269050300046, -80.48656051899968)"	"1601 Brenner Avenue
Salisbury, NC 28144
"	35.682690503	-80.486560519
558	Blind Rehabilitation Outpatient Clinic 	http://www.va.gov/directory/guide/facility.asp?id=6211&r=1	919-286-5235	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"8081 Arco Corporate Drive
Raleigh, NC 27617
(35.90219107700045, -78.78104087299965)"	"8081 Arco Corporate Drive
Raleigh, NC 27617
"	35.902191077	-78.781040873
558	Brier Creek Dialysis Clinic 	http://www.va.gov/directory/guide/facility.asp?id=6210&r=1	919-286-5220	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"8081 Arco Corporate Drive
Raleigh, NC 27617
(35.90219107700045, -78.78104087299965)"	"8081 Arco Corporate Drive
Raleigh, NC 27617
"	35.902191077	-78.781040873
565	Brunswick County 	http://www.fayettevillenc.va.gov/locations/brunswick.asp	910-754-6141	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"20 Medical Campus Dr
Supply, NC 28462
(34.01529066200044, -78.28272022799968)"	"20 Medical Campus Dr
Supply, NC 28462
"	34.015290662	-78.282720228
565	Fayetteville Dialysis Clinic 	http://www.va.gov/directory/guide/facility.asp?id=6283&r=1	910-483-9727	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"2301 Robeson Street
Fayetteville, NC 28305
(35.04441938000048, -78.91803041999964)"	"2301 Robeson Street
Fayetteville, NC 28305
"	35.04441938	-78.91803042
659	Hickory CBOC 	http://www.salisbury.va.gov/locations/Hickory.asp	828-431-5600	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"2440 Century Place
Hickory, NC 28602
(35.72672036400047, -81.28552085399969)"	"2440 Century Place
Hickory, NC 28602
"	35.726720364	-81.285520854
565	Village Green Annex 	http://www.va.gov/directory/guide/facility.asp?id=6282&r=1		Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1991 Fordham Drive
Fayetteville, NC 28304
(35.03691657900049, -78.91806290299968)"	"1991 Fordham Drive
Fayetteville, NC 28304
"	35.036916579	-78.918062903
590	Albemarle Primary OPC 	http://www.hampton.va.gov/locations/albemarle.asp	252-331-2191	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1845 City Dr
Elizabeth City, NC 27909
(36.29861931300047, -76.26121280699965)"	"1845 City Dr
Elizabeth City, NC 27909
"	36.298619313	-76.261212807
659GA	Charlotte CBOC 	http://www.salisbury.va.gov/locations/Charlotte.asp	704-597-3500	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"8601 University East Drive
Charlotte, NC 28213
(35.28136617700045, -80.73169290999965)"	"8601 University East Drive
Charlotte, NC 28213
"	35.281366177	-80.73169291
558	Durham Clinic 	http://www.durham.va.gov/locations/HillandaleRoad.asp	919-383-6107	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1824 Hillandale Road
Durham, NC 27705
(36.03050002300046, -78.93580046299968)"	"1824 Hillandale Road
Durham, NC 27705
"	36.030500023	-78.935800463
637	Franklin CBOC 	http://www.asheville.va.gov/locations/franklin.asp	828-369-1781	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"647 Wayah St
Franklin, NC 28734
(35.17558024800047, -83.37480007899967)"	"647 Wayah St
Franklin, NC 28734
"	35.175580248	-83.374800079
565GF	Goldsboro Community Based Outpatient Clinic 	http://www.va.gov/directory/guide/facility.asp?id=6284&r=1	919-731-4809	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"2610 Hospital Road
Goldsboro, NC 27534
(35.402993326000455, -77.95394555699966)"	"2610 Hospital Road
Goldsboro, NC 27534
"	35.402993326	-77.953945557
558GA	Greenville Clinic CBOC 	http://www.durham.va.gov/locations/Greenville.asp	252-830-2149	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"800 Moye Blvd
Greenville, NC 27858
(35.60408706600049, -77.40042843399965)"	"800 Moye Blvd
Greenville, NC 27858
"	35.604087066	-77.400428434
565GD	Hamlet CBOC 	http://www.fayettevillenc.va.gov/locations/hamlet.asp	910-582-3536	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"100 Jefferson Street
Hamlet, NC 28345
(34.88515627300046, -79.70228900599966)"	"100 Jefferson Street
Hamlet, NC 28345
"	34.885156273	-79.702289006
558	Hillandale Road Outpatient Clinics 1 & II 	http://www.va.gov/directory/guide/facility.asp?id=6209&r=1	919-383-6107	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"1824 Hillandale Road
Durham, NC 27705
(36.03050002300046, -78.93580046299968)"	"1824 Hillandale Road
Durham, NC 27705
"	36.030500023	-78.935800463
565GA	Jacksonville CBOC 	http://www.fayettevillenc.va.gov/locations/jacksonville.asp	910-353-6406	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"241 Freedom Way Way
Midway Park, NC 28544
(34.716490208000494, -77.32312020699965)"	"241 Freedom Way Way
Midway Park, NC 28544
"	34.716490208	-77.323120207
558	Morehead City CBOC 	http://www.durham.va.gov/locations/MoreheadCity.asp	252-240-2349	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"5420 Highway
Morehead City, NC 28557
(34.730401706000464, -76.75364567399964)"	"5420 Highway
Morehead City, NC 28557
"	34.730401706	-76.753645674
558	Raleigh CBOC 	http://www.durham.va.gov/locations/Raleigh.asp	919-212-0129	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"3305 Sungate Blvd
Raleigh, NC 27610
(35.77651048600046, -78.58276073099967)"	"3305 Sungate Blvd
Raleigh, NC 27610
"	35.776510486	-78.582760731
558	Raleigh II CBOC 	http://www.durham.va.gov/locations/RaleighII.asp	919-899-6259	Veterans Health Administration: VISN 6: VA Mid-Atlantic Health Care Network	"3040 Hammond Business Place
Raleigh, NC 27603
(35.74105152800047, -78.63920613599964)"	"3040 Hammond Business Place
Raleigh, NC 27603
"	35.741051528	-78.639206136
